Service,Category,Metrics_Count,Status,Error
account-service,banking,311,success,
anomaly-injector,ml_detection,21,success,
api-gateway,banking,311,success,
auth-service,banking,311,success,
auto-baselining,ml_detection,28,success,
banking-db-demo,database,121,success,
banking-kafka,messaging,432,success,
banking-message-consumer,messaging,152,success,
banking-message-producer,messaging,134,success,
banking-postgresql,database,629,success,
banking-rabbitmq,messaging,1883,success,
cache-load-generator,cache,22,success,
cache-pattern-analyzer,cache,32,success,
cache-proxy,cache,134,success,
cadvisor,monitoring,1384,success,
container-resource-monitor,monitoring,150,success,
ddos-ml-detection,ml_detection,28,success,
fraud-detection,banking,311,success,
node-exporter,monitoring,2478,success,
notification-service,banking,311,success,
performance-aggregator,monitoring,44,success,
prometheus,infrastructure,1342,success,
rabbitmq-queue-monitor,messaging,50,success,
redis-exporter,cache,675,success,
resource-anomaly-generator,testing,30,success,
trace-generator,testing,34,success,
transaction-monitor,monitoring,52,success,
transaction-service,banking,311,success,
windows-exporter,monitoring,215,success,
